V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,481000,88750439,6056,3183,20564,https://www.youtube.com/watch?v=4bU6a2Y_5f4,3101,2700,3455,https://www.youtube.com/watch?v=9u81X-87CGM,6837,3657,20564,https://www.youtube.com/watch?v=4bU6a2Y_5f4,31203,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,436000,44356779,11096,6647,87763,https://www.youtube.com/watch?v=u8NKu9wnF24,10937,5215,87763,https://www.youtube.com/watch?v=u8NKu9wnF24,11260,6743,33245,https://www.youtube.com/watch?v=ghteJ86LPjY,77443,23004,12652,93240,https://www.twitch.tv/videos/2004631585
664e1b310cf343b78623f99b31e40fae,395000,56983722,7850,1789,22918,https://www.youtube.com/watch?v=0vVLYUvM7w8,0,0,0,,7850,1789,22918,https://www.youtube.com/watch?v=0vVLYUvM7w8,16890,682,579,1070,https://www.twitch.tv/videos/2012652064
5535c9524eb046c38e172ebfa06b302f,317000,72866061,16649,7755,95487,https://www.youtube.com/watch?v=6Ue5olF6WJA,22591,13277,95487,https://www.youtube.com/watch?v=6Ue5olF6WJA,14457,5367,49799,https://www.youtube.com/watch?v=ZXLpGE64mm0,62276,4368,2378,19108,https://www.twitch.tv/videos/2009079422
4b6b055ada4d4f0ab63b7ad02a3fa3ef,221000,15520330,2939,1983,47007,https://www.youtube.com/watch?v=oI7bqljn4WQ,2498,1289,5627,https://www.youtube.com/watch?v=NAULy7S7eHM,6250,3896,47007,https://www.youtube.com/watch?v=oI7bqljn4WQ,52548,1759,632,5752,https://www.twitch.tv/videos/1994916917
a9f6574e98f34b20a05269134930fb50,217000,7385438,13067,7291,65212,https://www.youtube.com/watch?v=IYazB7p8KPQ,11738,6419,24455,https://www.youtube.com/watch?v=x9SZV5S68XU,65212,33497,65212,https://www.youtube.com/watch?v=IYazB7p8KPQ,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,189000,32998277,5339,1704,55237,https://www.youtube.com/watch?v=K8V0M3vbKDs,7801,3444,55237,https://www.youtube.com/watch?v=K8V0M3vbKDs,3014,1410,18650,https://www.youtube.com/watch?v=WbS0c-OCcWQ,45322,4555,2712,8456,https://www.twitch.tv/videos/2017537573
abd64c9a64e04fb1b23faa2480c1c106,172000,58630199,6735,2442,56033,https://www.youtube.com/watch?v=VZ9fhx-0pPw,4831,1840,56033,https://www.youtube.com/watch?v=VZ9fhx-0pPw,13800,2890,39889,https://www.youtube.com/watch?v=foqVdNkUkyg,1396,30,21,59,https://www.twitch.tv/videos/2013300811
312fdd3c5e6d4aefa73fd3860ecc5613,165000,16041425,11691,6862,61059,https://www.youtube.com/watch?v=o3P6ADZ4LVk,11058,7582,26984,https://www.youtube.com/watch?v=FsQh60RqZE0,18701,6142,61059,https://www.youtube.com/watch?v=o3P6ADZ4LVk,4327,0,0,0,
21428cae24af4607bffe25cb2746daa6,154000,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
